economy,Country,SH.XPD.CHEX.GD.ZS
ZWE,Zimbabwe,6.17448902
ZMB,Zambia,4.78156233
YEM,"Yemen, Rep.",8.14723873
PSE,West Bank and Gaza,9.1223526
VIR,Virgin Islands (U.S.),
VNM,Viet Nam,4.99014759
VEN,"Venezuela, RB",
VUT,Vanuatu,2.88118052
UZB,Uzbekistan,4.30888557
URY,Uruguay,8.71702194
USA,United States,16.63827515
GBR,United Kingdom,9.70468903
ARE,United Arab Emirates,4.00854969
UKR,Ukraine,7.44610357
UGA,Uganda,3.99852037
TUV,Tuvalu,24.45763206
TCA,Turks and Caicos Islands,
TKM,Turkmenistan,5.82361221
TUR,Turkiye,4.17974997
TUN,Tunisia,6.18557453
TTO,Trinidad and Tobago,6.56562996
TON,Tonga,5.62952805
TGO,Togo,6.50210476
TLS,Timor-Leste,6.80442286
THA,Thailand,3.85276842
TZA,Tanzania,4.02325726
TJK,Tajikistan,6.85399008
SYR,Syrian Arab Republic,3.91299295
CHE,Switzerland,11.37471581
SWE,Sweden,10.94730949
SUR,Suriname,5.32285929
SDN,Sudan,5.91767406
VCT,St. Vincent and the Grenadines,4.23171329
MAF,St. Martin (French part),
LCA,St. Lucia,4.45561934
KNA,St. Kitts and Nevis,5.2735939
LKA,Sri Lanka,3.33093429
ESP,Spain,9.0217495
SSD,South Sudan,22.11322403
ZAF,South Africa,7.97711372
SOM,"Somalia, Fed. Rep.",2.44348097
SLB,Solomon Islands,4.16556406
SVN,Slovenia,8.2588892
SVK,Slovak Republic,6.73388767
SXM,Sint Maarten (Dutch part),
SGP,Singapore,4.35978413
SLE,Sierra Leone,6.00532055
SYC,Seychelles,4.47661018
SRB,Serbia,7.89965153
SEN,Senegal,4.16359377
SAU,Saudi Arabia,6.03126049
STP,Sao Tome and Principe,7.46631384
SMR,San Marino,8.25972271
WSM,Samoa,5.16343021
RWA,Rwanda,5.37623835
RUS,Russian Federation,5.35890055
ROU,Romania,5.18878555
QAT,Qatar,3.21237087
PRI,Puerto Rico (US),
PRT,Portugal,9.32668972
POL,Poland,6.53713226
PHL,Philippines,3.96042776
PER,Peru,4.80915499
PRY,Paraguay,6.60902548
PNG,Papua New Guinea,2.22970986
PAN,Panama,7.16492653
PLW,Palau,10.90419006
PAK,Pakistan,2.7863009
OMN,Oman,3.95418668
NOR,Norway,10.22983646
MNP,Northern Mariana Islands,
MKD,North Macedonia,6.43909454
NGA,Nigeria,3.74762511
NER,Niger,5.57609606
NIC,Nicaragua,8.32754421
NZL,New Zealand,8.61795807
NCL,New Caledonia,
NLD,Netherlands,9.93712521
NPL,Nepal,4.72174025
NRU,Nauru,11.4886446
NAM,Namibia,8.71348476
MMR,Myanmar,4.6921258
MOZ,Mozambique,7.80532169
MAR,Morocco,4.98920393
MNE,Montenegro,7.98255396
MNG,Mongolia,4.33954191
MCO,Monaco,4.16119528
MDA,Moldova,7.1278038
FSM,"Micronesia, Fed. Sts.",12.40742493
MEX,Mexico,5.3117938
MUS,Mauritius,5.59857273
MRT,Mauritania,3.41947556
MHL,Marshall Islands,12.02498436
MLT,Malta,8.31366253
MLI,Mali,3.67425752
MDV,Maldives,9.14948273
MYS,Malaysia,3.71472311
MWI,Malawi,7.58438921
MDG,Madagascar,4.80225945
MAC,"Macao SAR, China",
LUX,Luxembourg,5.13535357
LTU,Lithuania,6.44472837
LIE,Liechtenstein,5.67968512
